Frame Rate:,30.0000000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
78,00:00:02.600,14.320030864197532,13.254506172839505,11.249413580246914,18.456172839506173
79,00:00:02.633,14.628251028806583,13.716327160493828,11.036543209876543,19.131882716049383
80,00:00:02.667,15.668364197530863,15.06429012345679,11.573858024691358,20.366944444444446
81,00:00:02.700,16.984958847736625,17.557407407407407,12.03962962962963,21.35783950617284
82,00:00:02.733,17.04533950617284,17.040648148148147,12.952654320987655,21.142716049382717
83,00:00:02.767,17.4420987654321,16.66070987654321,13.701203703703703,21.964382716049382
84,00:00:02.800,17.445823045267492,16.576820987654322,13.652191358024691,22.10845679012346
85,00:00:02.833,18.670637860082305,18.178117283950616,14.281265432098765,23.552530864197532
86,00:00:02.867,18.58090534979424,17.845925925925926,14.494382716049383,23.402407407407406
87,00:00:02.900,19.226635802469136,18.949166666666667,14.893333333333333,23.837407407407408
88,00:00:02.933,18.131543209876543,17.859166666666667,13.967098765432098,22.568364197530865
89,00:00:02.967,19.471265432098765,19.76530864197531,15.288703703703703,23.359783950617285
90,00:00:03.000,18.28957818930041,18.711574074074075,14.72567901234568,21.43148148148148
91,00:00:03.033,19.1819341563786,19.883518518518517,15.941018518518518,21.721265432098765
92,00:00:03.067,18.648539094650207,19.305925925925926,16.081543209876543,20.55814814814815
93,00:00:03.100,18.57327160493827,18.18179012345679,17.258827160493826,20.2791975308642
94,00:00:03.133,18.488230452674898,17.71003086419753,18.028487654320987,19.726172839506173
95,00:00:03.167,18.795020576131687,18.58111111111111,18.346759259259258,19.45719135802469
96,00:00:03.200,17.14630658436214,16.60608024691358,17.71759259259259,17.115246913580247
97,00:00:03.233,17.223168724279837,17.162037037037038,17.34432098765432,17.16314814814815
98,00:00:03.267,15.487973251028805,14.213641975308642,16.66469135802469,15.585586419753087
99,00:00:03.300,15.226018518518517,13.808425925925926,16.92509259259259,14.944537037037037
100,00:00:03.333,14.068786008230452,12.57932098765432,16.463456790123455,13.16358024691358
101,00:00:03.367,13.635586419753087,13.111975308641975,13.340493827160493,14.45429012345679
102,00:00:03.400,11.276265432098766,11.029475308641976,10.32638888888889,12.472932098765432
103,00:00:03.433,9.797314814814815,10.259351851851852,8.446265432098766,10.686327160493827
104,00:00:03.467,9.421460905349795,9.712623456790123,8.981882716049382,9.569876543209876
105,00:00:03.500,10.044393004115227,10.342253086419753,10.036913580246914,9.754012345679012
106,00:00:03.533,8.556707818930041,8.258456790123457,9.360462962962963,8.051203703703704
107,00:00:03.567,8.634958847736625,8.287006172839506,9.663518518518519,7.954351851851852
108,00:00:03.600,8.727150205761317,8.056111111111111,9.820956790123457,8.304382716049382
109,00:00:03.633,6.965534979423868,5.757623456790124,7.90429012345679,7.234691358024691
110,00:00:03.667,7.573960905349794,7.760493827160494,6.917561728395062,8.043827160493827
111,00:00:03.700,6.696512345679012,5.857654320987654,6.598672839506173,7.6332098765432095
112,00:00:03.733,7.162818930041152,6.22787037037037,7.114166666666667,8.14641975308642
113,00:00:03.767,7.764567901234568,6.850061728395062,7.444783950617284,8.998858024691359
114,00:00:03.800,9.952633744855966,9.254938271604939,9.177222222222222,11.425740740740741
115,00:00:03.833,13.839022633744856,11.664567901234568,13.591481481481482,16.26101851851852
116,00:00:03.867,15.507345679012346,13.583425925925926,14.60429012345679,18.334320987654323
117,00:00:03.900,15.872181069958849,13.75851851851852,15.094104938271604,18.76391975308642
118,00:00:03.933,17.000185185185185,14.734012345679012,16.02774691358025,20.238796296296297
119,00:00:03.967,18.28414609053498,15.78280864197531,17.108086419753086,21.96154320987654
120,00:00:04.000,18.664794238683125,15.78675925925926,17.762253086419754,22.44537037037037
121,00:00:04.033,18.978425925925926,16.359012345679012,17.91814814814815,22.658117283950617
122,00:00:04.067,18.586327160493827,15.569166666666666,18.160555555555554,22.02925925925926
123,00:00:04.100,19.577829218106995,16.53324074074074,19.002716049382716,23.19753086419753
124,00:00:04.133,19.567170781893,16.453672839506172,18.867993827160493,23.379845679012345
125,00:00:04.167,20.417489711934156,17.21469135802469,19.519567901234566,24.51820987654321
126,00:00:04.200,20.064022633744855,16.53145061728395,18.879413580246915,24.781203703703703
127,00:00:04.233,20.757088477366253,17.49246913580247,19.187314814814815,25.59148148148148
128,00:00:04.267,20.838487654320986,17.448734567901234,19.149444444444445,25.917283950617286
129,00:00:04.300,21.162705761316875,17.758827160493826,18.929783950617285,26.799506172839507
130,00:00:04.333,21.166430041152264,18.100864197530864,18.742376543209875,26.65604938271605
131,00:00:04.367,21.354362139917697,18.03641975308642,18.82345679012346,27.20320987654321
132,00:00:04.400,21.68781893004115,18.51990740740741,19.209043209876544,27.334506172839507
133,00:00:04.433,21.91006172839506,18.71185185185185,19.164228395061727,27.854104938271604
134,00:00:04.467,21.98380658436214,18.973518518518517,18.993055555555557,27.984845679012345
135,00:00:04.500,22.40969135802469,19.342685185185186,19.600895061728394,28.285493827160494
136,00:00:04.533,21.8579012345679,18.9625,19.55151234567901,27.05969135802469
137,00:00:04.567,21.745421810699586,18.72929012345679,19.426296296296297,27.08067901234568
138,00:00:04.600,23.294979423868313,19.646018518518517,21.178641975308643,29.060277777777777
139,00:00:04.633,23.97364197530864,20.980925925925927,21.310308641975308,29.62969135802469
140,00:00:04.667,23.800339506172843,21.017746913580247,21.33277777777778,29.050493827160494
141,00:00:04.700,23.77574074074074,20.48966049382716,21.637716049382718,29.199845679012345
142,00:00:04.733,24.530833333333334,21.336635802469136,22.113333333333333,30.142530864197532
143,00:00:04.767,25.136975308641976,22.242283950617285,22.700864197530866,30.467777777777776
144,00:00:04.800,25.158765432098765,22.321234567901236,22.97317901234568,30.181882716049383
145,00:00:04.833,25.47116255144033,22.048333333333332,23.742006172839506,30.623148148148147
146,00:00:04.867,24.53510288065844,20.97395061728395,23.147345679012346,29.484012345679012
147,00:00:04.900,24.455781893004115,21.501635802469135,23.15033950617284,28.71537037037037
148,00:00:04.933,24.771502057613166,21.828425925925927,23.56283950617284,28.92324074074074
149,00:00:04.967,25.150864197530865,21.97354938271605,23.864382716049384,29.61466049382716
