Frame Rate:,59.9400599401
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
21,00:00:00.350,16.646316872427985,18.72135802469136,17.408487654320986,13.809104938271606
22,00:00:00.367,16.641841563786006,18.22925925925926,17.706234567901234,13.99003086419753
23,00:00:00.384,16.488055555555558,17.583703703703705,17.639104938271604,14.241358024691358
24,00:00:00.400,15.343991769547324,15.956543209876543,16.532283950617284,13.543148148148148
25,00:00:00.417,15.415884773662553,15.938672839506173,16.239691358024693,14.06929012345679
26,00:00:00.434,14.292901234567902,14.77354938271605,15.078364197530863,13.02679012345679
27,00:00:00.450,14.568755144032922,14.817654320987653,15.426358024691359,13.462253086419754
28,00:00:00.467,14.52869341563786,13.965833333333334,15.713487654320987,13.906759259259259
29,00:00:00.484,14.97619341563786,14.24101851851852,16.202253086419752,14.485308641975308
30,00:00:00.501,14.593909465020575,13.203734567901234,16.158456790123456,14.419537037037037
31,00:00:00.517,14.82275720164609,13.470462962962962,16.3925,14.60530864197531
32,00:00:00.534,14.32224279835391,12.21429012345679,16.255061728395063,14.497376543209876
33,00:00:00.551,14.157510288065842,11.474598765432098,16.22608024691358,14.771851851851851
34,00:00:00.567,13.722489711934157,10.509444444444444,15.975432098765433,14.682592592592593
35,00:00:00.584,13.436018518518518,10.300154320987655,15.554537037037036,14.453364197530863
36,00:00:00.601,13.161553497942387,9.711697530864198,15.482191358024691,14.290771604938271
37,00:00:00.617,13.340606995884771,9.788395061728394,15.866944444444444,14.36648148148148
38,00:00:00.634,13.05719135802469,9.152314814814815,15.867808641975309,14.15145061728395
39,00:00:00.651,13.801646090534978,10.257592592592593,16.0154012345679,15.131944444444445
40,00:00:00.667,13.270298353909466,9.748148148148148,15.903086419753086,14.159660493827161
41,00:00:00.684,13.360709876543211,10.506234567901235,15.766913580246914,13.808981481481482
42,00:00:00.701,13.43232510288066,10.334506172839506,15.988950617283951,13.97351851851852
43,00:00:00.717,14.10003086419753,11.133858024691358,16.822345679012347,14.34388888888889
44,00:00:00.734,13.519526748971193,10.447777777777778,16.46638888888889,13.644413580246914
45,00:00:00.751,13.171728395061729,10.48641975308642,15.644475308641976,13.38429012345679
46,00:00:00.767,12.852541152263376,10.113981481481481,15.006913580246914,13.436728395061728
47,00:00:00.784,13.464413580246912,12.270802469135802,14.656450617283951,13.465987654320987
48,00:00:00.801,12.902654320987653,11.629166666666666,14.479259259259258,12.599537037037036
49,00:00:00.817,13.500668724279834,11.712345679012346,15.03216049382716,13.7575
50,00:00:00.834,13.470154320987655,12.031574074074074,14.947067901234568,13.431820987654321
51,00:00:00.851,14.137572016460906,12.829197530864198,15.403395061728395,14.180123456790124
52,00:00:00.868,13.35533950617284,12.237993827160494,14.517376543209876,13.310648148148148
53,00:00:00.884,13.035473251028806,12.184444444444445,13.970185185185185,12.95179012345679
54,00:00:00.901,12.785421810699589,11.729660493827161,13.659351851851852,12.967253086419753
55,00:00:00.918,13.779413580246915,13.231481481481481,14.871141975308642,13.235617283950617
56,00:00:00.934,13.225720164609053,12.011697530864197,14.159722222222221,13.505740740740741
57,00:00:00.951,12.217808641975308,10.980277777777777,13.194783950617284,12.478364197530864
58,00:00:00.968,11.741707818930044,10.59388888888889,12.76067901234568,11.870555555555555
59,00:00:00.984,11.998827160493827,11.725339506172839,12.269475308641976,12.001666666666667
60,00:00:01.001,10.873374485596708,10.36179012345679,11.411604938271605,10.846728395061728
61,00:00:01.018,10.231090534979424,9.499444444444444,10.715925925925927,10.477901234567902
62,00:00:01.034,10.44429012345679,9.390092592592593,10.913055555555555,11.029722222222222
63,00:00:01.051,9.529094650205762,8.74820987654321,9.618425925925926,10.220648148148149
64,00:00:01.068,9.072623456790124,7.3419135802469135,9.400277777777777,10.47567901234568
65,00:00:01.084,8.41477366255144,6.860493827160494,8.415524691358025,9.968302469135802
66,00:00:01.101,8.91827160493827,7.352777777777778,8.526203703703704,10.875833333333333
67,00:00:01.118,9.461450617283951,8.739382716049382,8.477962962962962,11.167006172839507
68,00:00:01.134,9.43869341563786,8.156635802469136,8.722654320987655,11.43679012345679
69,00:00:01.151,10.442993827160494,9.280987654320988,9.600092592592592,12.447901234567901
70,00:00:01.168,10.929238683127572,9.763765432098765,9.391450617283951,13.6325
71,00:00:01.185,12.704855967078188,11.977006172839506,10.490308641975309,15.647253086419752
72,00:00:01.201,12.595144032921809,11.247191358024692,10.953518518518518,15.584722222222222
73,00:00:01.218,13.880936213991768,12.653024691358025,12.028302469135802,16.96148148148148
74,00:00:01.235,14.127129629629628,12.032561728395061,12.498981481481481,17.849845679012347
75,00:00:01.251,15.20366255144033,13.673302469135802,13.148333333333333,18.78935185185185
76,00:00:01.268,14.781460905349794,12.40716049382716,12.933302469135802,19.00391975308642
77,00:00:01.285,15.130020576131686,13.69141975308642,12.54358024691358,19.15506172839506
78,00:00:01.301,14.320030864197532,13.254506172839505,11.249413580246914,18.456172839506173
79,00:00:01.318,14.628251028806583,13.716327160493828,11.036543209876543,19.131882716049383
80,00:00:01.335,15.668364197530863,15.06429012345679,11.573858024691358,20.366944444444446
81,00:00:01.351,16.984958847736625,17.557407407407407,12.03962962962963,21.35783950617284
82,00:00:01.368,17.04533950617284,17.040648148148147,12.952654320987655,21.142716049382717
83,00:00:01.385,17.4420987654321,16.66070987654321,13.701203703703703,21.964382716049382
84,00:00:01.401,17.445823045267492,16.576820987654322,13.652191358024691,22.10845679012346
85,00:00:01.418,18.670637860082305,18.178117283950616,14.281265432098765,23.552530864197532
86,00:00:01.435,18.58090534979424,17.845925925925926,14.494382716049383,23.402407407407406
87,00:00:01.451,19.226635802469136,18.949166666666667,14.893333333333333,23.837407407407408
88,00:00:01.468,18.131543209876543,17.859166666666667,13.967098765432098,22.568364197530865
89,00:00:01.485,19.471265432098765,19.76530864197531,15.288703703703703,23.359783950617285
90,00:00:01.502,18.28957818930041,18.711574074074075,14.72567901234568,21.43148148148148
91,00:00:01.518,19.1819341563786,19.883518518518517,15.941018518518518,21.721265432098765
92,00:00:01.535,18.648539094650207,19.305925925925926,16.081543209876543,20.55814814814815
93,00:00:01.552,18.57327160493827,18.18179012345679,17.258827160493826,20.2791975308642
94,00:00:01.568,18.488230452674898,17.71003086419753,18.028487654320987,19.726172839506173
95,00:00:01.585,18.795020576131687,18.58111111111111,18.346759259259258,19.45719135802469
96,00:00:01.602,17.14630658436214,16.60608024691358,17.71759259259259,17.115246913580247
97,00:00:01.618,17.223168724279837,17.162037037037038,17.34432098765432,17.16314814814815
98,00:00:01.635,15.487973251028805,14.213641975308642,16.66469135802469,15.585586419753087
99,00:00:01.652,15.226018518518517,13.808425925925926,16.92509259259259,14.944537037037037
100,00:00:01.668,14.068786008230452,12.57932098765432,16.463456790123455,13.16358024691358
101,00:00:01.685,13.635586419753087,13.111975308641975,13.340493827160493,14.45429012345679
102,00:00:01.702,11.276265432098766,11.029475308641976,10.32638888888889,12.472932098765432
103,00:00:01.718,9.797314814814815,10.259351851851852,8.446265432098766,10.686327160493827
104,00:00:01.735,9.421460905349795,9.712623456790123,8.981882716049382,9.569876543209876
105,00:00:01.752,10.044393004115227,10.342253086419753,10.036913580246914,9.754012345679012
106,00:00:01.768,8.556707818930041,8.258456790123457,9.360462962962963,8.051203703703704
107,00:00:01.785,8.634958847736625,8.287006172839506,9.663518518518519,7.954351851851852
108,00:00:01.802,8.727150205761317,8.056111111111111,9.820956790123457,8.304382716049382
109,00:00:01.818,6.965534979423868,5.757623456790124,7.90429012345679,7.234691358024691
110,00:00:01.835,7.573960905349794,7.760493827160494,6.917561728395062,8.043827160493827
111,00:00:01.852,6.696512345679012,5.857654320987654,6.598672839506173,7.6332098765432095
112,00:00:01.869,7.162818930041152,6.22787037037037,7.114166666666667,8.14641975308642
113,00:00:01.885,7.764567901234568,6.850061728395062,7.444783950617284,8.998858024691359
114,00:00:01.902,9.952633744855966,9.254938271604939,9.177222222222222,11.425740740740741
115,00:00:01.919,13.839022633744856,11.664567901234568,13.591481481481482,16.26101851851852
116,00:00:01.935,15.507345679012346,13.583425925925926,14.60429012345679,18.334320987654323
117,00:00:01.952,15.872181069958849,13.75851851851852,15.094104938271604,18.76391975308642
118,00:00:01.969,17.000185185185185,14.734012345679012,16.02774691358025,20.238796296296297
119,00:00:01.985,18.28414609053498,15.78280864197531,17.108086419753086,21.96154320987654
120,00:00:02.002,18.664794238683125,15.78675925925926,17.762253086419754,22.44537037037037
121,00:00:02.019,18.978425925925926,16.359012345679012,17.91814814814815,22.658117283950617
122,00:00:02.035,18.586327160493827,15.569166666666666,18.160555555555554,22.02925925925926
123,00:00:02.052,19.577829218106995,16.53324074074074,19.002716049382716,23.19753086419753
